"Algeria","Argentina","Australia","Austria","Bahamas","Bangladesh","Belarus","Belgium","Bolivia","Botswana","Brazil","Brunei Darussalam","Bulgaria","Burkina Faso","Canada","Chile","China","Colombia","Costa Rica","Cuba","Cyprus","Denmark","Ecuador","Egypt","Ethiopia","Finland","France","Ghana","Greece","Guyana","Hungary","Iceland","India","Indonesia","Ireland","Israel","Italy","Jamaica","Japan","Jordan","Kenya","Kuwait","Libya","Luxembourg","Malaysia","Mali","Malta","Mexico","Nepal","Netherlands","New Zealand","Nigeria","Norway","Pakistan","Panama","Paraguay","Peru","Philippines","Poland","Portugal","Russian Federation","Singapore","Spain","Sri Lanka","Sudan","Sweden","Syrian Arab Republic","Tanzania","Thailand","Togo","Trinidad and Tobago","UK","Ukraine","Uruguay","USA","Venezuela","Zambia"
"2996",2,2,1,1,1,1,1,1,1,1,2,1,1,2,1,1,1,1,1,2,1,1,1,1,2,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"3075",3,1,1,1,2,1,3,1,2,1,1,1,3,3,1,NA,1,1,1,3,2,1,2,1,3,2,1,1,1,2,3,1,3,NA,1,1,1,1,1,1,1,2,3,1,1,2,2,1,2,1,1,2,1,1,1,1,1,1,3,1,3,1,1,2,1,1,3,2,1,1,2,1,3,1,1,1,2
"3078",1,1,3,2,2,1,1,3,1,1,1,1,1,1,3,2,1,2,3,1,1,3,1,1,1,2,3,1,1,1,1,3,1,1,3,3,3,2,2,1,1,1,1,3,1,1,1,1,1,3,3,1,3,1,2,2,1,1,1,3,1,1,2,1,1,2,1,1,1,1,1,3,1,2,3,1,1
"3098",1,1,3,2,1,1,3,2,1,1,1,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,3,1,1,1,1,3,2,1,2,1,1,1,NA,2,1,1,1,1,1,2,1,NA,1,1,1,1,1,1,3,2,3,1,2,1,1,1,1,1,1,1,1,3,3,1,3,1,1
"3099",1,1,1,1,1,1,3,1,1,1,1,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,1,1,1,1,3,1,1,1,1,1,1,NA,1,1,1,1,1,1,1,1,NA,1,1,1,1,1,1,3,1,3,1,1,1,1,1,1,1,1,1,1,2,3,1,3,1,1
"3102",2,1,1,1,1,1,3,1,1,1,1,1,3,2,1,1,1,1,1,3,NA,1,1,1,3,2,1,1,1,2,3,1,2,1,1,1,1,1,1,1,1,1,3,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,3,1,3,1,1,1,1,1,3,2,1,1,1,1,3,1,1,1,1
"3110",2,1,1,1,1,1,3,1,1,1,1,1,3,2,1,1,1,1,1,3,2,1,1,1,3,2,1,1,1,1,3,1,2,1,1,1,1,1,1,1,1,1,3,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,3,1,3,1,1,1,1,1,3,1,1,1,1,1,3,1,1,1,1
"3118",1,1,2,2,1,1,1,3,1,NA,1,1,1,1,3,NA,1,1,1,1,1,2,1,1,1,2,3,1,2,1,1,2,1,1,2,3,3,1,2,1,1,1,1,3,1,1,2,1,1,3,2,1,2,1,1,NA,1,1,1,3,1,1,2,1,1,2,1,1,1,1,1,3,1,1,3,1,1
"3189",1,2,2,1,2,1,1,3,1,1,1,2,1,1,2,2,2,1,3,1,1,2,2,2,1,1,3,2,2,1,1,2,1,1,2,3,2,2,3,1,2,1,1,3,1,1,2,1,1,3,2,1,2,2,1,2,1,2,1,3,1,2,2,1,1,2,1,1,1,1,2,3,1,1,3,1,1
"3199",3,1,1,1,1,1,3,1,2,1,1,1,3,2,1,1,1,1,1,3,2,1,2,1,3,2,1,2,1,2,3,1,3,NA,1,1,1,1,1,1,1,2,3,1,1,2,1,1,2,1,1,2,1,1,1,1,1,1,3,1,3,1,1,2,1,1,3,2,1,1,2,1,3,1,1,1,2
